mbs;postupak;datum_stecaja
10023009;1;
10023025;1;
10023210;1;
10023236;1;
10023244;1;
10023308;1;
10023316;1;
10023390;1;
10023412;1;
10023429;2;2016-07-25T22:00:00Z
10023461;1;
10023470;1;
10023599;1;
10023611;1;
10023620;1;
10023718;1;
10023791;1;
10023847;1;
10023871;1;
10023898;1;
10023902;1;
10023919;1;
10023935;1;
10023951;1;
10023960;1;
10024010;1;
10024036;1;
10024052;2;2016-07-11T22:00:00Z
10024069;1;
10024108;1;
10024157;1;
10024165;1;
10024181;1;
10024245;1;
10024358;1;
10024382;1;
10024411;1;
10024438;1;
10024526;1;
10024542;1;
10024567;1;
10024614;1;
10024719;1;
10024760;1;
10024778;1;
10024786;1;
10024817;1;
10024876;1;
10024921;1;
10024948;1;
10024972;1;
10024997;1;
10025088;1;
10025174;1;
10025246;1;
10025287;1;
10025375;1;
10025383;1;
10025447;1;
10025455;1;
10025502;1;
10025551;1;
10025625;1;
10025705;1;
10025748;1;
10025789;1;
10025810;1;
10025828;1;
10025869;1;
10025877;2;2017-01-31T23:00:00Z
10025908;1;
10025916;1;
10025932;1;
10025949;1;
10026007;1;
10026023;1;
10026111;1;
10026120;1;
10026146;1;
10026200;1;
10026218;1;
10026226;1;
10026259;3;
10026306;1;
10026322;1;
10026347;1;
10026363;1;
10026398;1;
10026478;1;
10026486;1;
10026517;1;
10026576;1;
10026584;1;
10026592;1;
10026689;1;
10026701;1;
10026710;1;
10026832;1;
10026873;1;
10026929;1;
10027034;1;
10027042;1;
10027075;1;
10027106;1;
10027122;1;
10027180;1;
10027198;1;
10027202;1;
10027235;1;
10027260;1;
10027278;1;
10027317;1;
10027341;1;
10027405;1;
10027510;1;
10027528;1;
10027544;1;
10027569;1;
10027616;1;
10027632;1;
10027665;1;
10027681;1;
10027690;1;
10027704;1;
10027753;1;
10027761;1;
10027807;1;
10027866;1;
10027874;1;
10027987;1;
10028060;1;
10028192;1;
10028230;1;
10028264;1;
10028310;1;
10028385;1;
10028393;1;
10028432;1;
10028457;1;
10028465;1;
10028504;1;
10028512;1;
10028570;1;
10028623;1;
10028631;1;
10028640;1;
10028658;1;
10028666;1;
10028674;1;
10028682;1;
10028746;1;
10028762;1;
10028795;1;
10028800;1;
10029013;1;
10029048;1;
10029056;6;
10029101;1;
10029144;1;
10029152;2;2015-11-08T23:00:00Z
10029185;1;
10029232;1;
10029249;1;
10029281;1;
10029329;1;
10029361;1;
10029396;1;
10029431;1;
10029440;1;
10029482;6;
10029503;1;
10029579;1;
10029618;1;
10029634;1;
10029659;1;
10029683;1;
10029691;1;
10029706;1;
10029714;1;
10029722;1;
10029827;1;
10029835;1;
10029843;1;
10029878;1;
10029894;1;
10029925;1;
10030038;1;
10030079;1;
10030087;1;
10030100;1;
10030118;1;
10030126;1;
10030159;5;
10030183;1;
10030214;1;
10030222;1;
10030247;1;
10030255;1;
10030271;1;
10030319;1;
10030409;1;
10030425;1;
10030450;1;
